Time;spring-native-simple;quarkus-jvm;quarkus-native;spring-jvm-simple;micronaut-jvm;micronaut-native;;;;;;;;
08.01.2025 14:00;95.3;138;26.5;261;161;46.9;;;;;;;;
08.01.2025 14:01;95.3;151;26.6;269;161;71.7;;;spring-native-simple;quarkus-jvm;quarkus-native;spring-jvm-simple;micronaut-jvm;micronaut-native
08.01.2025 14:02;108;139;26.5;269;162;21.9;;average;68.00;193.65;27.43;298.88;169.75;72.78
08.01.2025 14:03;108;210;27.1;269;162;46.1;;median;67.6;145;27;304;170;26.8
08.01.2025 14:04;104;139;27.1;270;165;24.8;;std;4.49;69.14;2.11;9.00;1.03;64.25
08.01.2025 14:05;104;237;27.6;270;165;84.6;;;;;;;;
08.01.2025 14:06;92.1;139;27.5;270;165;24.2;;rel.;;64.8%;40.3%;;57%;107.0%
08.01.2025 14:07;87.6;263;26.1;270;165;99.2;;;;;;;;
08.01.2025 14:08;77;139;26.1;271;165;24.2;;;;;;;;
08.01.2025 14:09;77;317;26.6;276;165;188;;;;;;;;
08.01.2025 14:10;69.5;140;26.5;276;165;22.7;;;;;;;;
08.01.2025 14:11;69.5;141;30.4;277;165;202;;;;;;;;
08.01.2025 14:12;68.4;142;30.5;277;166;23.1;;;;;;;;
08.01.2025 14:13;68.5;249;27.3;277;168;201;;;;;;;;
08.01.2025 14:14;70.4;142;27.6;277;168;23.6;;;;;;;;
08.01.2025 14:15;70.4;320;25.6;277;168;61.9;;;;;;;;
08.01.2025 14:16;67.4;142;25;277;168;24.8;;;;;;;;
08.01.2025 14:17;67.5;142;26.6;277;168;106;;;;;;;;
08.01.2025 14:18;64.9;143;26.1;278;168;23.8;;;;;;;;
08.01.2025 14:19;65;195;26.6;278;168;118;;;;;;;;
08.01.2025 14:20;71.4;143;26.1;278;168;24;;;;;;;;
08.01.2025 14:21;60.8;320;28.3;278;168;161;;;;;;;;
08.01.2025 14:22;68;143;28.3;278;168;24.3;;;;;;;;
08.01.2025 14:23;68;155;25.6;278;168;202;;;;;;;;
08.01.2025 14:24;65.9;143;25;278;168;23.9;;;;;;;;
08.01.2025 14:25;66;298;26.6;278;168;42.1;;;;;;;;
08.01.2025 14:26;69.5;143;26.1;278;168;24.8;;;;;;;;
08.01.2025 14:27;60.3;320;27.9;278;168;59.5;;;;;;;;
08.01.2025 14:28;66.5;143;28.2;278;168;23.3;;;;;;;;
08.01.2025 14:29;66.5;208;27.1;279;168;130;;;;;;;;
08.01.2025 14:30;71.5;143;27.1;279;168;21.8;;;;;;;;
08.01.2025 14:31;62.7;249;27.2;279;168;144;;;;;;;;
08.01.2025 14:32;72.9;143;27.4;279;168;23.4;;;;;;;;
08.01.2025 14:33;73;306;27.1;279;168;132;;;;;;;;
08.01.2025 14:34;72;141;27.1;279;168;21.8;;;;;;;;
08.01.2025 14:35;72.5;141;27.2;279;168;195;;;;;;;;
08.01.2025 14:36;68;142;27.1;279;168;21.3;;;;;;;;
08.01.2025 14:37;68;213;26.1;279;168;21.3;;;;;;;;
08.01.2025 14:38;70;141;26;280;168;30.4;;;;;;;;
08.01.2025 14:39;71;317;26.9;280;168;61.5;;;;;;;;
08.01.2025 14:40;63;141;26.4;280;168;23.2;;;;;;;;
08.01.2025 14:41;63;141;26.2;280;168;94.8;;;;;;;;
08.01.2025 14:42;70.2;142;26.2;280;168;23.6;;;;;;;;
08.01.2025 14:43;70.2;197;26.6;280;168;120;;;;;;;;
08.01.2025 14:44;62.2;142;26.5;280;168;23.5;;;;;;;;
08.01.2025 14:45;61.7;275;28.2;280;168;135;;;;;;;;
08.01.2025 14:46;73.4;142;28.1;280;168;23.9;;;;;;;;
08.01.2025 14:47;64.9;319;25.6;280;168;151;;;;;;;;
08.01.2025 14:48;70.5;142;25.6;280;168;26.3;;;;;;;;
08.01.2025 14:49;70.5;146;28.3;280;168;202;;;;;;;;
08.01.2025 14:50;67;142;28.8;280;168;24.4;;;;;;;;
08.01.2025 14:51;67.1;297;26.6;280;168;21.8;;;;;;;;
08.01.2025 14:52;64.4;142;25.5;280;169;24.4;;;;;;;;
08.01.2025 14:53;64.5;320;27.2;280;168;60.6;;;;;;;;
08.01.2025 14:54;73.5;142;28.4;280;168;25.4;;;;;;;;
