Time;spring-native-simple;quarkus-jvm;quarkus-native;spring-jvm-simple;micronaut-jvm;micronaut-native
08.01.2025 14:00;95.3 MiB;138 MiB;26.5 MiB;261 MiB;161 MiB;46.9 MiB
08.01.2025 14:01;95.3 MiB;151 MiB;26.6 MiB;269 MiB;161 MiB;71.7 MiB
08.01.2025 14:02;108 MiB;139 MiB;26.5 MiB;269 MiB;162 MiB;21.9 MiB
08.01.2025 14:03;108 MiB;210 MiB;27.1 MiB;269 MiB;162 MiB;46.1 MiB
08.01.2025 14:04;104 MiB;139 MiB;27.1 MiB;270 MiB;165 MiB;24.8 MiB
08.01.2025 14:05;104 MiB;237 MiB;27.6 MiB;270 MiB;165 MiB;84.6 MiB
08.01.2025 14:06;92.1 MiB;139 MiB;27.5 MiB;270 MiB;165 MiB;24.2 MiB
08.01.2025 14:07;87.6 MiB;263 MiB;26.1 MiB;270 MiB;165 MiB;99.2 MiB
08.01.2025 14:08;77.0 MiB;139 MiB;26.1 MiB;271 MiB;165 MiB;24.2 MiB
08.01.2025 14:09;77.0 MiB;317 MiB;26.6 MiB;276 MiB;165 MiB;188 MiB
08.01.2025 14:10;69.5 MiB;140 MiB;26.5 MiB;276 MiB;165 MiB;22.7 MiB
08.01.2025 14:11;69.5 MiB;141 MiB;30.4 MiB;277 MiB;165 MiB;202 MiB
08.01.2025 14:12;68.4 MiB;142 MiB;30.5 MiB;277 MiB;166 MiB;23.1 MiB
08.01.2025 14:13;68.5 MiB;249 MiB;27.3 MiB;277 MiB;168 MiB;201 MiB
08.01.2025 14:14;70.4 MiB;142 MiB;27.6 MiB;277 MiB;168 MiB;23.6 MiB
08.01.2025 14:15;70.4 MiB;320 MiB;25.6 MiB;277 MiB;168 MiB;61.9 MiB
08.01.2025 14:16;67.4 MiB;142 MiB;25.0 MiB;277 MiB;168 MiB;24.8 MiB
08.01.2025 14:17;67.5 MiB;142 MiB;26.6 MiB;277 MiB;168 MiB;106 MiB
08.01.2025 14:18;64.9 MiB;143 MiB;26.1 MiB;278 MiB;168 MiB;23.8 MiB
08.01.2025 14:19;65.0 MiB;195 MiB;26.6 MiB;278 MiB;168 MiB;118 MiB
08.01.2025 14:20;71.4 MiB;143 MiB;26.1 MiB;278 MiB;168 MiB;24.0 MiB
08.01.2025 14:21;60.8 MiB;320 MiB;28.3 MiB;278 MiB;168 MiB;161 MiB
08.01.2025 14:22;68.0 MiB;143 MiB;28.3 MiB;278 MiB;168 MiB;24.3 MiB
08.01.2025 14:23;68.0 MiB;155 MiB;25.6 MiB;278 MiB;168 MiB;202 MiB
08.01.2025 14:24;65.9 MiB;143 MiB;25.0 MiB;278 MiB;168 MiB;23.9 MiB
08.01.2025 14:25;66.0 MiB;298 MiB;26.6 MiB;278 MiB;168 MiB;42.1 MiB
08.01.2025 14:26;69.5 MiB;143 MiB;26.1 MiB;278 MiB;168 MiB;24.8 MiB
08.01.2025 14:27;60.3 MiB;320 MiB;27.9 MiB;278 MiB;168 MiB;59.5 MiB
08.01.2025 14:28;66.5 MiB;143 MiB;28.2 MiB;278 MiB;168 MiB;23.3 MiB
08.01.2025 14:29;66.5 MiB;208 MiB;27.1 MiB;279 MiB;168 MiB;130 MiB
08.01.2025 14:30;71.5 MiB;143 MiB;27.1 MiB;279 MiB;168 MiB;21.8 MiB
08.01.2025 14:31;62.7 MiB;249 MiB;27.2 MiB;279 MiB;168 MiB;144 MiB
08.01.2025 14:32;72.9 MiB;143 MiB;27.4 MiB;279 MiB;168 MiB;23.4 MiB
08.01.2025 14:33;73.0 MiB;306 MiB;27.1 MiB;279 MiB;168 MiB;132 MiB
08.01.2025 14:34;72.0 MiB;141 MiB;27.1 MiB;279 MiB;168 MiB;21.8 MiB
08.01.2025 14:35;72.5 MiB;141 MiB;27.2 MiB;279 MiB;168 MiB;195 MiB
